Monte Carlo,32814,33871,30263,29444,34413,31048,33821,37032,30817,30371,36331,30414,35371,34014,29446,28745,30005,35263,32941,36777,33600,33423,32955,33994,29238,36351,35722,31720,31887,35059,33914,30892,33407,32156,32055,33625,34258,28101,31569,34182,31832,37562,30683,31592,36748,31799,33891,31594,33608,32803,29716,33105,34347,34723,30713,34669,32944,31569,32553,30575,32989,32942,37441,35132,31471,30334,31647,31424,38164,32486,35134,36420,32306,33552,33222,33490,29896,35174,34323,30787,30836,31705,32618,33112,31554,34924,35926,34127,32820,35865,35191,33720,35074,33542,30567,36887,34066,32881,32230,31985
Layer 1,753,700,650,683,702,774,587,781,661,672,721,661,602,746,693,808,637,707,717,634,711,712,699,788,580,675,721,674,625,653,698,720,574,657,639,615,635,638,640,790,707,710,659,592,682,645,702,627,795,704,550,581,677,766,664,681,690,717,614,657,734,736,615,652,569,809,601,661,670,621,635,674,754,724,622,657,670,817,686,758,808,678,705,641,730,594,731,730,792,749,719,692,706,627,716,677,705,642,759,721
Layer 2,437,402,442,429,332,441,376,454,471,508,440,382,408,501,455,353,396,351,456,395,370,371,376,315,423,415,499,510,353,390,427,473,415,324,400,297,437,338,373,429,455,437,446,467,412,388,478,497,445,470,371,381,454,516,281,506,396,323,386,422,397,448,392,346,369,477,417,346,517,398,361,459,365,392,435,409,364,486,496,556,407,373,433,324,327,479,385,426,591,322,505,315,384,473,414,490,385,363,443,391
Layer 3,148,234,173,147,130,168,123,208,127,131,162,139,170,171,154,123,196,145,134,193,137,89,105,129,149,248,144,186,136,196,129,142,188,133,199,185,189,106,119,180,185,89,139,146,155,117,198,199,159,172,158,135,120,140,175,175,135,147,139,200,139,240,131,141,95,177,210,123,147,198,115,106,90,219,141,228,105,102,245,172,153,151,120,141,144,201,147,170,190,141,169,206,195,139,160,240,182,110,133,204
Layer 4,2,6,2,0,0,0,10,0,5,2,1,2,3,5,0,1,0,5,7,2,0,2,5,3,1,4,1,5,3,0,0,4,3,2,1,1,0,1,1,1,4,4,2,2,2,2,0,1,0,0,5,3,5,4,0,2,3,3,2,7,3,5,8,6,3,3,2,2,5,7,5,3,2,2,1,1,3,2,8,1,3,9,4,4,5,5,2,0,3,0,2,0,5,1,2,3,0,1,3,0
Layer 5,0,1,4,1,3,7,3,5,2,8,5,3,3,4,9,4,3,4,7,4,0,2,7,2,0,7,4,4,3,0,2,10,1,2,9,5,0,6,3,0,5,4,6,2,6,1,5,3,4,5,2,3,3,3,5,8,0,5,4,2,3,1,6,4,2,3,15,3,6,4,0,4,1,1,2,7,1,3,2,8,3,3,3,7,0,2,1,3,4,0,0,3,4,1,2,5,0,0,3,3
Disk 1,1,4,0,1,0,2,0,0,5,0,2,0,3,3,2,0,1,1,4,0,1,6,1,1,0,0,2,0,0,2,1,1,3,0,3,0,1,6,3,4,1,2,1,1,4,2,1,3,2,0,5,2,4,2,0,1,2,0,3,1,1,5,2,0,1,0,0,1,1,2,1,3,0,0,0,0,1,4,0,2,0,2,0,0,1,2,2,0,1,0,2,2,2,2,7,5,2,0,3,1
Disk 2,1,1,4,0,4,5,1,1,0,4,1,0,2,2,4,0,0,3,5,0,2,4,8,6,0,2,2,0,4,8,6,1,0,0,2,2,4,3,3,4,3,1,1,3,3,0,4,0,0,4,1,5,4,4,0,0,3,5,2,3,4,3,3,2,2,6,0,1,1,3,3,1,2,0,0,4,2,4,4,0,7,1,2,7,6,1,3,7,2,2,0,1,2,1,2,0,4,1,2,2
Disk 3,4,2,0,2,5,2,4,13,2,4,8,14,4,9,7,14,6,5,9,3,4,3,6,4,3,5,8,3,2,10,12,7,7,9,12,3,8,12,11,7,9,5,5,7,5,0,14,2,8,1,6,8,4,4,10,4,4,5,4,15,1,19,5,4,2,4,5,4,7,7,7,4,10,3,15,11,7,7,11,3,3,4,13,13,5,5,8,4,7,2,4,2,9,2,2,5,8,4,7,3
Disk 4,8,11,7,7,9,9,4,3,5,2,4,11,9,5,6,1,2,14,8,5,21,8,17,9,7,8,6,6,6,6,7,5,10,8,18,5,5,13,3,8,11,6,4,3,8,3,10,2,3,11,3,2,13,10,6,14,2,8,2,9,8,20,9,6,8,9,13,5,7,7,15,12,8,2,4,7,9,12,2,11,3,6,8,10,8,5,10,1,12,14,6,2,6,10,5,6,7,7,4,4
Disk 5,6,2,2,7,1,0,2,3,1,3,5,3,3,3,2,2,3,1,4,1,6,5,2,0,1,2,4,2,3,0,3,1,3,2,4,3,1,2,1,1,3,5,5,0,0,3,2,3,3,6,0,0,9,6,1,0,5,3,3,1,3,8,1,1,2,3,2,3,4,3,5,1,6,4,4,1,2,3,1,0,3,0,3,2,1,1,3,0,3,4,4,3,2,3,1,0,5,4,4,3
Disk 6,2,0,0,2,1,0,1,0,0,1,5,2,2,0,2,0,0,4,1,1,0,2,0,0,1,0,4,1,0,2,1,1,1,2,1,0,2,0,1,0,1,1,0,3,10,0,1,1,2,2,0,1,5,3,1,0,5,3,3,2,0,4,1,2,2,5,1,0,1,0,2,0,0,3,2,3,0,2,0,2,0,2,4,3,2,0,1,1,3,3,0,0,1,2,0,6,0,2,3,0
